Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
100.0,2020-05-02 00:00:00,Erhalt der deutschen Grundrechte und unserer Freiheit für Samstag,Nordseite Münsterplatz,,,
101.0,2020-04-25 00:00:00,Friedliche Versammlung zum Erhalt der Grundrechte,Rathausplatz ,,,
102.0,2020-04-29 00:00:00,"Türkei raus aus Kurdistan, Erdogan vors Kriegsverbrechergericht nach Den Haag...",Platz der Alten Synagoge,,,
103.0,2020-05-01 00:00:00,Aktuelle Lage der Seenotrettung im Mittelmeer und den Lagern auf Lesbos etc.“,Platz der Alten Synagoge,,,
104.0,2020-05-02 00:00:00,Corona ist gefährlich. Die Wirtschaftkrise auch.,Rotteckring 4,,,
105.0,2020-05-02 00:00:00,"Grundgesetz, Wahrung der Grundrechte",Kartoffelmarkt,,,
106.0,"04.05., 11.05.,
18.05., 25.05.,
08.06., 15.06.,
22.06., 29.06.,
06.07.2020 
","Soziale Ungerechtigkeit, Umweltschutz, Frieden",Bertoldstraße / Niemensstraße ,,,
107.0,2020-05-09 00:00:00,Initiative Lieferkettengesetz,Gerberau 12-14,,,
108.0,2020-05-02 00:00:00,“Corona ist zur Chiffre geworden für den Missbrauch der Ängste und Sorgen der Bürger durch Regierungsverantwortliche. Nur Gerichte konnten den absoluten Grundrechtsbeschränkungen Einhalt gebieten. Die Kosten der Krise werden uns wie die übrigen Fehler der Regierung auf Jahrzehnte hin beschäftigen. Die AfD sagt: bleibt wachsam!”,Platz der Alten Syngoge,,,
109.0,2020-05-02 00:00:00,Aufstehen gegen Rassismus: Solidarität grenzenlos. Gegenprotest zu der AfD-Aktion.,auf der öffentlich zugänglichen Fläche vor der Universitätsbibliothek,,,
110.0,2020-05-02 00:00:00,"Für grenzenlose Solidarität und Antifaschismus: #LeaveNoOneBehind. Gegen Faschismus, AfD und Verschwörungstheoretiker.",Vorplatz des Stadttheaters ,,,
111.0,2020-05-02 00:00:00,Tanzschulen in Zeiten von Corona,Platz der Alten Synagoge,,,
112.0,2020-05-02 00:00:00,Die Quarantäne nicht auf unserem Rücken austragen - gegen Faschismus und Ausbeutung,Ecke Bertoldstraße / Niemensstraße ,,,
113.0,02.05.20.20,"Türkei raus aus Kurdistan, Erdogan vors Kriegsverbrechergericht nach Den Haag...",Platz der Alten Synagoge,,,
114.0,2020-05-05 00:00:00,Free Tobi and Hemp,vor Amtsgericht,,,
115.0,2020-05-05 00:00:00,Solidaritätsbekundung mit Bewohner*innen der LEA Freiburg,"auf dem Gehweg vor der Landeserstaufnahme Freiburg, Lörracher Straße",,,
116.0,2020-05-06 00:00:00,"Türkei raus aus Kurdistan, Erdogan vors Kriegsverbrechergericht nach Den Haag...",Rathausplatz,,,
