Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
357,2016-09-27 00:00:00,Antipegida Kundgebung: Keinen Fußbreit der Pegida DU,2016-12-05,18:00-22:00,DU-Stadtmitte; Mercatorstraße - Königstraße - Claubergstraße - Friedrich-Wilhelm-Straße - Portsmouthplatz,100-300
358,2016-09-26 00:00:00,Erhöhte Geschwindigkeit in Verkehrsberuhigter Zone,2016-10-21,16:00-18:00,DU-Beeckerwerth; Schwalbenplatz,8
359,2016-09-28 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-10-03,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
360,2016-09-28 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-11-07,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
361,2016-09-28 00:00:00,No Duigida - gegen den PEGIDA-Aufmarsch,2016-12-05,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-75
362,2016-09-30 00:00:00,"Gegendemo: Kultur gegen Pegidaaufmarsch und für Vielfalt, Toleranz & Solidarität",2016-10-03,18:30-21:00,DU-Stadtmitte; König-Heinrich-Platz vor dem Forum,200
363,2016-10-03 00:00:00,Protestaktion gegen die Schließung der kurdischen und alevitischen TV-Sender und Radiosender,2016-10-04,17:00-20:00,DU-Stadtmitte; Portsmouthplatz,150-200
364,2016-09-30 00:00:00,"Verlesen des offenen Briefes, Reden der Betroffenen, Sammlung von Unterschriften und Informationen der Bürger Duisburgs",2016-10-08,17:00-20:00,DU-Stadtmitte; Königstraße (Vor dem Forum),100
365,2016-10-08 00:00:00,"Verlesen des offenen Briefes, Reden der Betroffenen, Sammlung von Unterschriften, Information der Bürger Duisburgs und Diskurs mit Verantwortlichen im Jobcenter",2016-10-13,10:00-12:00,DU-Stadtmitte; Friedrich-Wilhelm-Straße (vor dem Jobcenter),100
366,2016-10-18 00:00:00,Stopp Stahl-Exit - Durchbrecht die Mauer des Schweigens,2016-10-19,13:00 - 15:00,"TK Steel Europe. DU - Hüttenheim, Tor 9",600 - 800
