Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzugsstrecke,Datum der Versammlung,Uhrzeit der Versammlung
105.0,2018-04-30 00:00:00,Deutsches Tierschutzbüro e.V.,Truck You – Tiertransporte unzensiert,Vor Anger 1,2018-08-01 00:00:00,11.00 – 18.00 Uhr
106.0,2018-05-08 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Angerdreieck,2018-05-11 00:00:00,15.00 – 19.00 Uhr
,,,,,,
107.0,2018-05-15 00:00:00,Einzelperson,11. Gebot: Du sollst Deinen Kirchentag selbst bezahlen! Kunstaktion mit politischer Willensbildung gegen die Bewerbung der Stadt Erfurt um die Austragung des Katholikentags 2024,"Domplatz, Fischmarkt, Angerdreieck",2018-05-15 00:00:00,09.00 – 22.00 Uhr
,,,,,2018-05-16 00:00:00,10.00 – 20.00 Uhr
108.0,2018-05-22 00:00:00,Einzelperson,Demokratie bewahren – Seid wachsam,Fischmarkt neben Fischmarkt 13,2018-05-22 00:00:00,18.30 – 19.00 Uhr
109.0,2018-05-14 00:00:00,Critical Mass Erfurt,"Verkehrspolitische Radtour – Wir behindern nicht den Verkehr, wir sind der Verkehr!",Aufzug- Willy-Brandt-Platz à Fischmarkt,2018-05-25 00:00:00,18.30 – 20.15 Uhr
110.0,2018-05-15 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Angerdreieck,2018-06-09 00:00:00,16.00 – 19.00 Uhr
111.0,2018-05-23 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Anger 8,2018-05-25 00:00:00,15.00 – 18.00 Uhr
,,,,,,
112.0,2018-05-11 00:00:00,Grüne Jugend Erfurt,Mobilität in Erfurt: Schneller und sicherer im Verkehr mit repariertem Fahrrad,Hirschgarten,2018-09-19 00:00:00,17.00 – 19.00 Uhr
113.0,2018-05-15 00:00:00,VOS e.V.,Öffentliches Gedenken für die Opfer des Volksaufstandes ,Andreasstraße 37,2018-06-17 00:00:00,10.00 – 11.30 Uhr
114.0,2018-05-31 00:00:00,LSVD Thüringen e.V.,Dyke March – Für mehr Sichtbarkeit und Solidarität,Aufzug: Anger à Innenstadt à Anger,2018-08-24 00:00:00,19.00 – 21.00 Uhr
115.0,2018-06-04 00:00:00,Tierbefreier Jena e.V.,Zirkus ist KEIN SPASS für Tiere!,Warschauer Straße / Berliner Straße ,2018-06-09 00:00:00,10.00 – 15.00 Uhr
116.0,2018-06-04 00:00:00,Republikaner (REP),Der Terror ist schon längst im Land – Bausewein reicht ihm die Hand,Fischmarkt,2018-06-27 00:00:00,16.30 – 18.00 Uhr
117.0,2018-06-06 00:00:00,Einzelperson,Gegen den Moscheeneubau in Marbach,Aufzug in Marbach,2018-07-01 00:00:00,07.00 – 08.00 Uhr
,,ABGESAGT,,,,
118.0,2018-06-06 00:00:00,Aktionskreis für Frieden e.V.,Kein Bundeswehrtag in Erfurt,Domplatz vor tegut,2018-06-09 00:00:00,10.00 – 18.00 Uhr
119.0,2018-06-07 00:00:00,Einzelperson,Aktion Stop Kohle,Anger,2018-06-24 00:00:00,11.00 – 12.00 Uhr
120.0,2018-06-15 00:00:00,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind der Verkehr",Willy-Brandt-Platz à Fischmarkt,2018-06-29 00:00:00,18.30 – 20.30 Uhr
121.0,2018-06-19 00:00:00,Einzelperson,Kundgebung für kulturelle Vielfalt in Erfurt,Wilhelm-Külz-Straße / Dalbergsweg,2018-06-21 00:00:00,17.30 – 23.00 Uhr
122.0,2018-06-19 00:00:00,SOKA Freunde Thüringen e.V.,Erst kennen lernen – dann urteilen,Aufzug Domplatz à Innenstadt à Domplatz,2018-06-23 00:00:00,14.00 – 17.00 Uhr
123.0,2018-06-14 00:00:00,DGB-Bildungswerk Thüringen e.V.,Erfurt im Nationalsozialismus,Aufzug. Thüringenhalle à Nordbahnhof,2018-06-26 00:00:00,09.00 – 13.00 Uhr
124.0,2018-06-21 00:00:00,Einzelperson,Gegen den Neoliberalismus,Fischmarkt,2018-07-14 00:00:00,09.00 – 20.00 Uhr
,,ABGESAGT,,,,
125.0,2018-06-21 00:00:00,Einzelperson,Tag der bunten Vielfalt,Willy-Brandt-Platz,2018-07-14 00:00:00,09.00 – 20.00 Uhr
,,ABGESAGT,,,,
126.0,2018-06-25 00:00:00,Ver.di Thüringen,Streikversammlung zur Durchsetzung der TV-Forderungen bei T-Systems,"Andreasstraße 38a, 99084 Erfurt",2018-06-28 00:00:00,08.00 – 12.00 Uhr
127.0,2018-06-22 00:00:00,AIDS-Hilfe Thüringen e.V.,"Gedenkveranstaltung ""Namen und Steine""",Domplatz,2018-11-04 00:00:00,15.00 – 20.00 Uhr
128.0,2018-06-26 00:00:00,Brennessel e.V. – Zentrum gegen Gewalt an Frauen,Erfurter Netzwerk gegen häusliche Gewalt,Angerdreieck,2018-09-10 00:00:00,16.30 – 18.30 Uhr
129.0,2018-06-26 00:00:00,Linksjugend [`solid] SDS Erfurt,Blumenstadt ohne Nazipack,Fischmarkt,2018-07-14 00:00:00,15.00 – 17.00 Uhr
130.0,2018-06-28 00:00:00,Verein Falun Dafa,Menschenrechte in China,Fischmarkt,2018-07-13 00:00:00,13.00 – 18.30 Uhr
