"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Datum
88.0,2021-03-31,Neue Stärke Erfurt e.V.,Heraus zum 01. Mai - Gemeinsam gegen Kapitalismus und Unterdrückung!,Willy-Brandt-Platz,2021-05-01 00:00:00,13.00 - 20.00 Uhr,21.0,,,,,,,,,,21.0
89.0,2021-03-31,Neue Stärke Erfurt e.V.,Heraus zum 01. Mai - Gemeinsam gegen Kapitalismus und Unterdrückung!,Schillerstraße / Löberstraße,2021-05-01 00:00:00,13.00 - 20.00 Uhr,21.0,,,,,,,,,,21.0
90.0,2021-04-05,Evangelium verändert Städte,Freiheit-Reliogion,Angerdreieck,2021-04-11 00:00:00,10:00 - 15:00 Uhr,21.0,,,,,,,,,,21.0
91.0,2021-04-07,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-04-17 00:00:00,14:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
92.0,2021-04-08,ver.di Thüringen,"Mahnwache: ""Das Druckhaus muss in Erfurt bleiben - Solidarität mit den Zeitungsdrucker*innen von TA, TLZ und OTZ!""",Gottstedter Landstraße (Höhe Eingfahrt Druckzentrum Bindersleben),2021-04-11 00:00:00,18:30 - 20:00 Uhr,21.0,,,,,,,,,,21.0
93.0,2021-04-12,Gebt Kindern eine Stimme ABGESAGT !!,"Abschaffung der Maskenpflicht für Thüringer Schüler im Unterricht, sowie der Selbsttests in Schulen",Domplatz,2021-04-17 00:00:00,15.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
94.0,2021-04-12,"Aktionskreis für Frieden e.V., ",76. Jahrestag der Befreiung vom Faschismus,"Petersberg, Denkmal des unbekannten Wehrmachtsdesserteurs",2021-05-08 00:00:00,16.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
95.0,2021-04-13,ver.di Thüringen,"Mahnwache: ""Das Druckhaus muss in Erfurt bleiben - Solidarität mit den Zeitungsdrucker*innen von TA, TLZ und OTZ!""",Gottstedter Landstraße (Höhe Eingfahrt Druckzentrum Bindersleben),2021-04-18 00:00:00,18.30 - 20:00 Uhr,21.0,,,,,,,,,,21.0
96.0,2021-04-15,Team Todenhöfer - Die Gerechtigkeitspartei  ABGESAGT !!,Politische Kundgebung hinsichtlich der Kandidatur der Partei Team Todenhöfer zur Bundestagswahl 2021,Johann-Sebastian-Bach-Straße ,2021-08-20 00:00:00,12.00 - 20.00 Uhr,21.0,,,,,,,,,,21.0
97.0,2021-04-20,AfD Thüringen,Tag der Arbeit,Aufzug GVZ --> Stadtgebiet --> GVZ,2021-05-01 00:00:00,10.00 - 14.00 Uhr,21.0,,,,,,,,,,21.0
98.0,2021-04-20,ver.di Thüringen,"Mahnwache: ""Das Druckhaus muss in Erfurt bleiben - Solidarität mit den Zeitungsdrucker*innen von TA, TLZ und OTZ!""",Gottstedter Landstraße (Höhe Eingfahrt Druckzentrum Bindersleben),2021-04-25 00:00:00,18:30 - 20:00 Uhr,21.0,,,,,,,,,,21.0
99.0,2021-04-22,MLPD Erfurt,internationaler Kampftag der Arbeiterklasse,Anger,2021-05-01 00:00:00,09:00 - 15:00 Uhr,21.0,,,,,,,,,,21.0
100.0,2021-04-21,MLPD Erfurt,Wahlkampfkundgebung,Angerdreieck,2021-09-04 00:00:00,14:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
101.0,2021-04-21,MLPD Erfurt,Wahlkampfkundgebung,Angerdreieck,2021-09-25 00:00:00,14:00 - 22:00 Uhr,21.0,,,,,,,,,,21.0
102.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-05-11 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
103.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-05-27 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
