Datum,Unnamed: 1,erwartete TN-Zahl,Thema
2023-04-02 00:00:00,JVA Ossendorf,10,Freiheit für die politische Gefangene Özgül Emre
2023-04-04 00:00:00,Bahnhofsvorplatz,30,Freiheit für Abdullah Öcalan
2023-04-04 00:00:00,Luxemburger Straße 101,15,Überteuerte Mieten und ungerechtfertigte Zwangsräumungen in Köln
2023-04-05 00:00:00,Bahnhofsvorplatz,25,Politische Haft in der Türkei und im Iran
2023-04-05 00:00:00,Heumarkt,200,Erinnerung an den verstorbenen Hamidreza Roahi 
2023-04-06 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-04-07 00:00:00,Bahnhofsvorplatz,50,"Gegen religiöse Feiertage im Allgemeinen sowie das kirchlich begründete Verbot der öffentlichen 
Aufführung zum Zwecke der Unterhaltung (""Tanzverbot"") im Speziellen. Für eine strikte Trennung von Staat und Kirche."
2023-04-08 00:00:00,Heumarkt bis Bahnhofsvorplatz,1000,Ostermarsch Auftakt: Waffenstillstand statt Waffenlieferungen! Aufrüstung stoppen! Für Frieden und Klimaschutz! 
2023-04-08 00:00:00,Bahnhofsvorplatz,100,Christliche Werte in Gesellschaft und Politik
2023-04-08 00:00:00,Schildergasse (Antoniterkirche),30,Christliche Werte in Gesellschaft und Politik
