Datum;Thema;Teilnehmende (Angemeldet);Teilnehmende (tatsächlich);Kategorie;Stichwörter
19.01.2018;... gegen Benachteiligung, die sich in sprachlicher Diskriminierung, mangelnder Repräsentation in staatlichen Instanzen sowie in einer zunehmenden Zentralisierung niederschlägt...;100;75;Bürgerrechte;
19.01.2018;Gedenkkundgebung zum 11. Todestag des armenischen Journalisten Hrant Dink;300;;Gedenken;
19.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
19.01.2018;Gesetzliche Haltungskennzeichnung für tierische Produkte;3;3;Tiere;
20.01.2018;Die Unterstützung der Demonstration in Rumänien gegen die Veränderung der Justizgesetze;50;50;Ausland;
20.01.2018;Freiheit für Öcalan und Frieden in Kurdistan;300;800;Ausland;
20.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
20.01.2018;Gegen den amerikanischen Beschluss, Jerusalem als Hauptstadt Israels anzuerkennen;200;60;Ausland;
20.01.2018;Sit-in für Zivilisten in Afrin (Syrien);150;40;Ausland;
20.01.2018;Es gibt kein Recht auf Nazipropaganda - Köpenick sagt Nein zu rechter Gewalt;30;45;Bürgerrechte;
20.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
20.01.2018;Gesetzliche Haltungskennzeichnung für tierische Produkte;3;3;Tiere;
20.01.2018;Aktion Tierleid zeigen;10;6;Tiere;
20.01.2018;(Großdemonstration) Wir haben es satt! Stoppt das Bauernsterben weltweit;10000;30000;Umwelt;
20.01.2018;(Traktorkorso Aufzug 1 - Süden) Wir haben es satt! Stoppt das Bauernsterben weltweit;0;;Umwelt;
20.01.2018;(Traktorkorso Aufzug 2 - Norden) Wir haben es satt! Stoppt das Bauernsterben weltweit;0;;Umwelt;
20.01.2018;(Traktorkorso Aufzug 3 - Osten ) Wir haben es satt! Stoppt das Bauernsterben weltweit;0;;Umwelt;
20.01.2018;Grüne Woche demaskieren!;7;11;Umwelt;
21.01.2018;Gestohlene Gerechtigkeit;50;10;Arbeit und Sozialpolitik;
21.01.2018;16 Jahre Guantanamo;25;8;Ausland;
21.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
21.01.2018;Frauenrechte, Geschlechtergleichheit und Gleichberechtigung. Das Bewusstsein für Frauenthemen auf der Welt soll erhöht werden.;500;900;Bürgerrechte;
21.01.2018;Meditation für den inneren und äußeren Frieden... (vom 07.01. bis 28.01.2018 - jeweils So.);20;7;Frieden;
21.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
21.01.2018;Air France schickt Affen in den Tod;5;6;Tiere;
21.01.2018;Tierrechtsaktivismus;20;16;Tiere;
22.01.2018;Gegen Bärgida / Pegida - Gegen Rassismus und soziale Ausgrenzung (vom 01.01. bis 31.12.2018 - jeweils Mo.);70;14;Antifa und Antira;
22.01.2018;Hartz Gesetze ? Agenda 2010 ?? Aktuelles (vom 08.01. bis 17.12.2018 - jeweils Mo.);70;10;Arbeit und Sozialpolitik;
22.01.2018;Familienleben für Alle! Keine Aussetzung des Familiennachzugs!;300;60;Asyl;
22.01.2018;Schluss mit der Verfolgung der kommunistischen Partei Polens;20;20;Ausland;
22.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
