2019,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Datum Versammlung,Versammlungsbeginn,Versammlungsende,Örtlichkeit (ink. AKG + SKG),Stationär / sfv,Organisation,Thema,TN-Zahl
2019-03-14 00:00:00,18.00,22.00,Sedlmayrstr. Ggü. Hausnr. 28,stationär,Friedliche Friedens Famnatiker,Gegen die Klimaleugnung der AfD,10
2019-03-14 00:00:00,19.25,20.05,Sedlmayrstr. Ggü. Hausnr. 28 – Rotkreuzplatz,sfv,,"Gegen Rechtsentwicklung in Bayern, Deutschland und Europa",30
2019-03-14 00:00:00,16.00,19.30,MPL-Sonnenstr. 29,stationär,Demokratischer Widerstand Brasilien,Brasilien,30
2019-03-15 00:00:00,11.00,14.00,OPL / GSP – MPL,sfv,,gegen Klimakrise,1000
2019-03-15 00:00:00,15.00,16.30,Marienplatz,stationär,Weltkongress der Uiguren e.V.,China,30-40
2019-03-15 00:00:00,15.30,16.30,Grasserstr.,stationär,SPD Schwanthalerhöhe,Verkehrssicherheit Hackerbrücke,20-30
2019-03-15 00:00:00,11.40,12.25,Drygalski-Allee 2,stationär,Thomas-Mann-Gymnasium,Mahnwache gegen Klimawandel,200
2019-03-16 00:00:00,12.00,15.00,Westendstr. 66A – Westendstr. 66A,sfv,Multikulturelles Jugendzentrum,Im Rahmen der Internationalen Wochen gegen Rassismus,40-50
2019-03-16 00:00:00,14.00,21.00,Sendlinger Str. 8,stationär,Pax Europe e.V.,Aufklärung über Islam,10-20
2019-03-16 00:00:00,14.00,21.00,Max-Joseph-Platz,stationär,Pax Europe e.V.,Aufklärung über Islam,10-20
2019-03-16 00:00:00,15.45,18.15,Marienplatz,stationär,,syrische Revolution,70-100
2019-03-16 00:00:00,10.00,14.30,Marienplatz,stationär,,Pastunen Rettungswegeung,200-300
2019-03-16 00:00:00,14.45,17.45,Zwischengeschoss Hbf München,stationär,,Anonymous for the Voiceless,4-12
2019-03-16 00:00:00,10.00,14.00,Trappentreustraße Ecke Lendsbergerstraße 110,stationär,,Ampelaktion gegen den Konsum von tierischen Produkten,7
2019-03-16 00:00:00,18.00,20.00,Sendlinger Str. 8,stationär,Venezuela en Baviera e.V.,Venezuela,100
2019-03-18 00:00:00,16.00,17.00,Marienplatz,stationär,DGB Region München,Equal Pay Day,20
2019-03-18 00:00:00,18.00,20.00,Sendlinger Str. 8,stationär,,Weg mit Hartz IV,20-30
2019-03-18 00:00:00,11.30,14.00,Nymphenburger Str. 16,stationär,Internationalistisches Bündnis,Solidarität mit ATIK Gefangenen,100-150
2019-03-19 00:00:00,10.00,15.00,Odeonsplatz – Odeonsplatz,sfv,Döpfer Schulen München GmbH,Sicherung der Schulgeldfreiheit für Gesundheitsberufe,2000
2019-03-20 00:00:00,17.00,21.00,Marienplatz,stationär,,Newroz Fest – Freiheit für Abdullah Öcalan,150
2019-03-20 00:00:00,12.00,12.30,Leopoldstraße 230,stationär,ver.di,Tarifrunde privates/öffentliches Bankgewerbe,30-50
2019-03-20 00:00:00,13.00,13.30,Promenadeplatz,stationär,ver.di,Tarifrunde privates/öffentliches Bankgewerbe,30-50
2019-03-21 00:00:00,18.00,21.15,Odeonsplatz – Marienplatz,sfv,Netzwerk Rassismus- und Diskriminierungsfreies Bayern e.V.,Aktion anlässlich des internationalen Tag gegen Rassismus,300
