Demonstrationen / Versammlungen / Aufzüge 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum der Veranstaltung,,Art,Thema,Versammlungsort,Erwartete TN
,,Uhrzeit,,,,
118,2023-03-18 00:00:00,14.00 - 17.00,Versammlung,Demonstration gegen Assad-Regime,Bahnhofsvorplatz,50
119,2023-05-13 00:00:00,14:00 - 17:00,Aufzug,Gedenken an die Nakba,Strecke,40
120,2023-03-20 00:00:00,18:30 - 20:30,Versammlung mit Aufzug,68. MAINZER SCHILDERLAUF,Strecke,100
121,2023-03-27 00:00:00,18:30 - 20:30,Versammlung mit Aufzug,69. MAINZER SCHILDERLAUF,Strecke,100
122,2023-04-15 00:00:00,13:00 - 18:00,Versammlung mit Aufzug,Mainzer Monatslauf,Strecke,300
123,2023-05-17 00:00:00,18:00 - 19:00,Versammlung,Kundgebung zum Internationalen Tag gegen Homophobie,Markt,125
124,2023-03-27 00:00:00,10:00 - 12:30,Versammlung mit Aufzug,"EVG Streik, ver.di Streik TVÖD",Strecke,300
125,2023-04-15 00:00:00,12:00 - 17:00,Versammlung,Klar - statt querdenken,Schillerplatz/Osteiner Hof,100
126,2023-04-02 00:00:00,16:00 - 18:00,Versammlung,Gegen eiskalte Politik,Gartenfeldplatz,20
127,2023-04-03 00:00:00,18:30 - 20:30,Versammlung mit Aufzug,70. MAINZER SCHILDERLAUF,Strecke,100
128,2023-06-15 00:00:00,16:00-18:00,Versammlung mit Aufzug,Klimaschutz & Verkehrswende: Regieren heißt gestalten - Radschnellweg jetzt,Alicebrücke/Strecke,50
129,2023-04-06 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
130,2023-04-13 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
131,2023-04-20 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
132,2023-04-27 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
133,2023-04-06 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,ZDF,5-15
134,2023-04-13 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,ZDF,5-15
