Datum,Uhrzeit,Thema,Standort/Strecke,Personenzahl
24.06.,15.00-17.30,WHO - Klares No,Aufzug/Exerzierplatz,25
26.06.,15.00-17.30,Flaschenpfand ist keine Rente,Aufzug/Exerzierplatz,15
27.06.,17.00-20.00,Umnutzung von Parkflächen,Weißenburgstraße 36,ca. 20
29.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Wall-Brücke,20
29.06.,16.00-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus                   Schlossplatz,20
01.07.,15.00-17.30,Die Ampel muss weg,Aufzug/Exerzierplatz,30
01.07.,13.00-16.30,Umnutzung von Parkflächen/Kleidungstausch ,Weißenburgstraße 36,ca. 20
03.07.,08.00-16.00,Gegen die Gewalt der AfD,Schützenwall 31-35 (vor dem Landgericht),50
03.07.,05.30-14.00,Streik Groß- und Außenhandel sowie Einzelhandel,CITTI-Park + Aufzug Mühlendamm ,2 x 50
03.07.,10.00-11.30,Lohnerhöhungen beim AWO-KV Kiel ,Aufzug/AWO-KV Preetzer Str. 35,150
03.07.,18.00-19.30,Flaschenpfand ist keine Rente,Aufzug/Exerzierplatz,20
06.07.,17.00-20.00,Mobilitätskonzept im Französischen Viertel,Metzstraße 31/33,ca. 20
06.07.,16.00-18.00,"Ausgewogene, unabhängige Berichterstattung; Frieden; Freilassung von Julia Assange; grundlegende Reformen beim öffetlich-rechtlichen Rundfunk",NDR-Landesfunkhaus                   Wall-Brücke,max .20
06.07.,16.00-18.00,"Ausgewogene, unabhängige Berichterstattung; Frieden; Freilassung von Julia Assange; grundlegende Reformen beim öffetlich-rechtlichen Rundfunk",NDR-Landesfunkhaus                   Schlossplatz,max. 20
08.07.,13.00-15.00,Gedenkfeier zur Einweihung des Semra Ertan-Platzes,An der Schanze/Falckensteiner Straße,120
08.07.,12.00-14.00 ,Stop - Keinen Schritt zurück (CSD),Aufzug/Rathausplatz,ca. 3.000
08.07.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
09.07.,13.45-16.00,500 Tage vollumfänglicher Angriffskrieg Russlands gegen die Ukraine,Kielinie/Landesahaus,100-150
10.07.,18.00-19.30,Die Ampel muss weg,Aufzug/Exerzierplatz,20
10.07.,10.30-13.00,Jemenitische Staatsangehörige und deren Asylsituation,Ministerium für Justiz und Gesundheit,180
11.07.,10.00-19.00,Gegen den Nationalpark Ostsee,Seeburg,10
12.07.,17.00-19.00,"Solidarität mit Jenin, Palästina",Aufzug/Asmus Bremer-Platz,ca. 100
13.07.,13.00-14.00,Tarifbvertrag für studentische Beschäftgte - Blockade der Tarifgemeinschaft deutscher Länder brechen!,Landeshaus,ca. 30
13.07.,16.00-18.00,"Ausgewogene, unabhängige Berichterstattung; Frieden; Freilassung von Julia Assange; grundlegende Reformen beim öffetlich-rechtlichen Rundfunk",NDR-Landesfunkhaus                   Wall-Brücke,max .20
13.07.,16.00-18.00,"Ausgewogene, unabhängige Berichterstattung; Frieden; Freilassung von Julia Assange; grundlegende Reformen beim öffentlich-rechtlichen Rundfunk",NDR-Landesfunkhaus                   Schlossplatz,max. 20
