Datum,Ort,Art,ang. TN-Zahl
2022-04-24 00:00:00,Herderstraße,Stationär,40 - 50
2022-04-24 00:00:00,Kleine Beurhausstraße,Stationär,50
2022-04-25 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-04-25 00:00:00,Lünen,Aufzug,6 - 50
2022-04-25 00:00:00,Deutsche Straße 4-6 ,Stationär,80
2022-04-25 00:00:00,Willy-Brandt-Platz (Rundweg),Aufzug,50 - 100
2022-04-25 00:00:00,Borsigplatz,Stationär,4 - 6
2022-04-26 00:00:00,Platz von Netanya,Stationär,50 - 60
2022-04-27 00:00:00,RKP,Stationär,20
2022-04-28 00:00:00,Friedensplatz,Stationär,50
2022-04-28 00:00:00,Friedensplatz oder Platz der Alten Synagoge - Innenstadt,Aufzug,2600
2022-04-28 00:00:00,Platz von Trabzon,Stationär,3 - 5
2022-04-28 00:00:00,Silberstraße/ Ecke Hansastraße,Stationär,3 - 5 
2022-04-29 00:00:00,Platz von Hiroshima,Stationär,50-100
2022-04-29 00:00:00,Uferpromenade Hörde,Stationär,10
2022-04-29 00:00:00,RKP,Stationär,100
2022-04-29 00:00:00,Schlanke Mathilde Hörde,Stationär,3 - 6
2022-04-29 00:00:00,Möllerbrücke/ Ecke Hollestraße,Stationär,3 - 7
2022-04-30 00:00:00,Harkortstraße 58,Stationär,20
2022-04-30 00:00:00,Platz von Netanya,Stationär,10 - 15
2022-04-30 00:00:00,Friedensplatz,Stationär,200
2022-04-30 00:00:00,Limbecker Straße 34,Stationär,3 - 6
2022-04-30 00:00:00,Katharinenstraße/ Ecke Kampstraße,Stationär,6 - 10
2022-04-30 00:00:00,RKP,Stationär,10-20
2022-05-01 00:00:00,Platz der Alten Synagoge - Westfalenpark,Aufzug,3000
2022-05-01 00:00:00,Platz der Deutschen Einheit - Wall - Kreuzviertel - Stadthaus,Aufzug,150 - 200
2022-05-01 00:00:00,Westpark - Platz der Partnerstädte - Blücherpark,Aufzug,150
2022-05-01 00:00:00,Platz der Deutschen Einheit,Stationär,100
2022-05-01 00:00:00,Wilhelmstraße/Friedrichstraße,Stationär,80
2022-05-01 00:00:00,Steinwache,Stationär,40
2022-05-01 00:00:00,Sonnenplatz,Stationär,100
2022-05-01 00:00:00,Otto-Meinecke-Straße/ Ecke Brinkhoffstraße,Stationär,25
2022-05-01 00:00:00,Nordmarkt,Stationär,50
2022-05-01 00:00:00,Vinckeplatz,Stationär,100
2022-05-01 00:00:00,Wilhelmstraße/Josephstraße,Stationär,100
2022-05-01 00:00:00,Westentor/Rheinische Straße,Stationär,100
2022-05-01 00:00:00,Platz Rostow am Don,Stationär,50
2022-05-01 00:00:00,S-Bahn-Haltestelle Stadthaus,Stationär,50
2022-05-01 00:00:00,Alter Mühlenweg 66,Stationär,15
2022-05-02 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-05-02 00:00:00,Eving ,Stationär,50
2022-05-03 00:00:00,Platz der Deutschen Einheit,Stationär,50 - 80
2022-05-04 00:00:00,"Willy-Brandt-Platz, Lünen",Stationär,200
2022-05-04 00:00:00,Platz von Xi'an - Friedensplatz,Aufzug,1100
2022-05-04 00:00:00,Reinoldikirche,Stationär,20
