Datum,Ort,Art,ang. TN-Zahl,Thema
2023-03-27 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den Weltfrieden"
2023-03-27 00:00:00,Westfalenhallen,Stationär,30 - 100,"Menschheitsfamilie für Redefreiheit, Dialog und Frieden"
2023-03-27 00:00:00,Strobelallee 48 - 50,Stationär,20 - 40,Tarifrunde öffentlicher Dienst (TVöD Bund/VKA) 
2023-03-27 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,20 - 35,"""Schluss mit der destabilisierung Deutschlands, zurück zur Volkssouveränität"
2023-03-27 00:00:00,Platz der Deutschen Einheit,Stationär,200,Streik der EVG
2023-03-27 00:00:00,Westfalenhallen,Stationär,50,Stand with Ukraine
2023-03-28 00:00:00,Kampstraße,Stationär,100,Gedenken und Erinnerung an Thomas Schulz
2023-03-28 00:00:00,"Holtgrevenstraße - Graf-Adolf-Straße, Lünen",Aufzug,300,"Nachhaltigkeit in der Öffentlichkeit, Politik und Verwaltung"
2023-03-28 00:00:00,Kampstraße,Stationär,50,"In Erinnerung an Thomas Schulz: Kein Vergeben, kein Vergessen!"
2023-03-28 00:00:00,DSW21-Vorplatz,Stationär,20,Solidarität mit allen Streikenden
2023-03-29 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-03-31 00:00:00,Platz von Buffalo - Friedensplatz,Aufzug,100,Demo zum Trans Day of Visibility
2023-04-01 00:00:00,Platz der Deutschen Einheit,Stationär,10,"Glaube, Liebe, Hoffnung in Krisenzeiten"
2023-04-01 00:00:00,Adlerstraße/ Heinrich-Schmitz-Platz,Stationär,50,Gegen rechte Gewalt im Unionsviertel
2023-04-01 00:00:00,Sonnenplatz,Stationär,50,Gegen rechte Gewalt im Unionsviertel
2023-04-01 00:00:00,Herderstraße,Stationär,50,Mobile Spielstraße
2023-04-01 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,5,Lügen (alternative Fakten) als Gefahr für die Demokratie
2023-04-02 00:00:00,Missundestraße,Stationär,50,Mobile Spielstraße
2023-04-03 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,Gedenken an Mouhamed
2023-04-03 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingfrage, Internationale Solidarität, Für den Weltfrieden"
2023-04-03 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,20 - 35,Lünen gendert nicht
2023-04-04 00:00:00,Mallinckrodtstraße - Platz von Xi'an,Aufzug,200,"NSU-Komplex, Erinnerung an Mehmet Kubasik"
2023-04-05 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,50,Frieden ohne Waffen! Wr beschützen unsere Kinder! Info!
2023-04-05 00:00:00,DSW21-Vorplatz,Stationär,20,Gegen Militarisierung und Krieg
2023-04-05 00:00:00,Olpe 1,Stationär,20,Free Abdullohi - holt ihn zurück!
