Anzahl Vers.,Datum ,Thema der Versammlung,Uhrzeit,erwartete Teilnehmerzahl,Anzahl Aufzüge,Datum,Thema des Aufzuges
149.0,2023-08-03 00:00:00,Mahnwachen im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr- 19:00 Uhr,4 bis 8 ,,,
150.0,2023-08-03 00:00:00,9 Jahrestag Angriff der Isis auf Shingal,18:00 Uhr bis 19:00 Uhr,50,,,
151.0,2023-08-05 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,12:00 Uhr - 17:00 Uhr,12,,,
152.0,2023-08-05 00:00:00,Ist die Bibel Gottes Wort? Gibt es dafür Beweise?,10:00 Uhr - 15:00 Uhr,5 bis 10 ,,,
153.0,2023-08-05 00:00:00,Tiertransporte Stoppen!,14:30 Uhr - 17:00 Uhr,10,,,
154.0,2023-08-05 00:00:00,Christliche Werte sind wertvoll für die Gesellschaft?!,10:30 Uhr - 15:30 Uhr,25-30,,,
155.0,2023-08-07 00:00:00,Abriss der maroden Bauruine Luisenth.Str. 176-178 Burbach; Stattdessen: Bau von Sozialwohnungen,18:00 Uhr bis 19:00 Uhr,5-10,39.0,2023-08-07 00:00:00,Montagsdemo
156.0,2023-08-11 00:00:00,Christliche Veranstaltung.Evangelisierung.Schwarze Jugendliche die Gemeinschaft schließen wollen,14:00 Uhr bis 17:00 Uhr,10,,,
157.0,2023-08-12 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,40.0,2023-08-12 00:00:00,Freedom for Biker
158.0,2023-08-12 00:00:00,Friedensfest: Die Waffen nieder! Abrüsten jetzt! Verhandeln statt Eskalieren!,14:00 Uhr bis 18:00 Uhr,100,,,
159.0,2023-08-15 00:00:00,"Mahnwache - Tierrechte, Veganismus",16:00 Uhr - 20:00 Uhr,20,,,
160.0,2023-08-17 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr bis 19:00 Uhr,4-8,,,
161.0,2023-08-18 00:00:00,Sühne- und Bittgebet für die Ungeborenen,11:00 Uhr - 11:30 Uhr,14-24,,,
