Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
2023-01-07,0 days 13:00:00,0 days 14:00:00,"""We demand to apply sanctions on the Russian house of culture in Berlin (Russisches Haus der Wissenschaft und Kultur) since it serves as a vehicle for russian Propaganda in Europe and is directly influenced by Putin""",Friedrichstr.,176,10117.0,,5.0,
2023-01-07,0 days 13:00:00,0 days 15:00:00,"""Widerstand gegen jeden imperialistischen Krieg""",Schönhauser Allee,,10435.0,,15.0,150.0
2023-01-07,0 days 13:00:00,0 days 16:00:00,"""Verurteilung der klaren Verletzung der Menschenrechte durch das Kindertötungsregime der Islamischen Republik im Iran. Ehre erweisen der Opfer der iranischen Volksrevolution.""",Platz des 18. März,,10117.0,,150.0,
2023-01-07,0 days 13:00:00,0 days 17:00:00,"""Andenken an Opfer der abgeschossenen Passagiermaschine (PS752) im Oktober 2019 durch das iranische Regime mit 176 Toten und Stopp der Hinrichtungen im Iran""",Joachimsthaler Platz,,10719.0,,50.0,
2023-01-07,0 days 14:00:00,0 days 16:00:00,"""Menschenrechtsverletzungen in Saudi-Arabien""",Tiergartenstr.,33,10785.0,,10.0,10.0
2023-01-07,0 days 14:00:00,0 days 17:00:00,"""Video-Aktion zur Aufklärung über die Tierindustrie""",Pariser Platz,,10117.0,,15.0,
2023-01-07,0 days 14:00:00,0 days 17:30:00,"""Solidarität mit den fortschrittlichen Menschen in Chile, Peru und allen anderen Ländern Lateinamerikas. Kein US-Krieg gegen Venezuela. USA Unblock Kuba. USA Unblock Venezuela. Solidarität mit Sandinistischen Revolution. Frente Nacional por la Democracia y la Gobernabilidad Berlin. Gegen Intervention und Blockade, Schluss mit der Kriegstreiberei. Kein Krieg vom deutschen Boden, keine Waffenlieferungen, keine Kriegsbeteiligung. Hände weg vom Donbass. Save Donbass People""(vom 03.12.2022 bis 25.02.2023 - jeweils Sa.)",Pariser Platz,2,10117.0,,50.0,20.0
2023-01-07,0 days 14:00:00,0 days 18:00:00,"""Stimmt gegen Krieg! Wählt SGP!"" (Wahlen 2023)",Altstädter Ring,1,13597.0,,100.0,20.0
2023-01-07,0 days 15:30:00,0 days 17:00:00,"""Erinnerung an die Opfer des Flugzeugabsturzes am 8. Januar 2020 des Fluges PS752 in Teheran""",Washingtonplatz,3,10557.0,,30.0,
2023-01-07,0 days 16:00:00,0 days 18:00:00,"Protest gegen die Eröffnung von Räumlichkeiten des AfD nahen Vereins am Jungfernstieg 4b. Der Verein soll solche Veranstaltungen für AfD Mitglieder und rechte Strukturen ermöglichen, die schädlich für ihre Parteistrukturen sind.",Jungfernstieg / Bahnhofstr.,,12207.0,,20.0,4.0
2023-01-08,0 days 00:00:00,0 days 23:59:00,"""Revolutionsgarden des Islamischen Regime auf die Terrorliste der EU einsetzen"" (vom 23.12.2022 bis 20.01.2023 - täglich)",Platz der Republik,1,10557.0,,4.0,
